title,author,publisher,price
[국내도서] 초보자를 위한 파이썬(Python) 200제,장삼용,정보문화사,"18,000"
[국내도서] Black Hat Python,저스틴 지이츠,에이콘출판,"25,200"
[국내도서] 멘토 파이썬(MENTOR PYTHON),코리아교육그룹 교육연구소,코리아교육그룹,"24,300"
[eBook] 파이썬 딥러닝 파이토치(Python Deep Learning PyTorch),이경택,정보문화사,"15,300"
[eBook] 알고리즘과 자료구조(자바+파이썬),조민호,정보문화사,"9,000"
[POD] POD 마야 파이썬 2024,"신동선, 김경문",퍼플,"25,000"
[eBook] 파이썬 Python 기초 가이드 - 이 책 한 권이면 끝!,박빈,와이웨이브이퍼블리싱,"8,010"
[eBook] 누구나 할 수 있다 파이썬 Python 기초,박빈,와이웨이브이퍼블리싱,"8,010"
[eBook] 초보자를 위한 파이썬(Python) 200제,장삼용,정보문화사,"12,600"
"[eBook] Python(파이썬)과 Matplotlib, NumPy, Pandas",양원영,유페이퍼,"9,000"
[eBook] Head First Python,폴 배리,한빛미디어,"20,160"
[eBook] Flet 파이썬,권경민,작가와,"9,000"
[eBook] 마야 파이썬 2024,신동선,e퍼플,"17,100"
[eBook] 파이썬(Python) 2학년 스크래핑의 구조,이영란,성안당,"12,240"
[eBook] 파이썬(Python) 3학년 머신러닝의 구조,모리 요시나오,성안당,"12,960"
[eBook] 파이썬(Python),박병기,아티오,"14,490"
[국내도서] Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,"19,800"
[국내도서] 밑바닥부터 시작하는 딥러닝 1(리마스터판),사이토 고키,한빛미디어,"23,400"
[국내도서] 혼자 공부하는 파이썬,윤인성,한빛미디어,"19,800"
"[국내도서] Hey, 파이썬! 생성형 AI 활용 앱 만들어 줘",김한호,성안당,"35,100"
